('30/05/2022 17:02:10', '370', '240')
('30/05/2022 17:02:11', '379', '13')
('30/05/2022 17:02:12', '379', '477')
('30/05/2022 17:02:14', '383', '251')
('30/05/2022 17:02:15', '381', '345')
('30/05/2022 17:02:16', '399', '2')
('30/05/2022 17:02:17', '384', '1')
('30/05/2022 17:02:18', '394', '1')
('30/05/2022 17:02:20', '395', '211')
('30/05/2022 17:02:21', '399', '15')
('30/05/2022 17:02:22', '401', '192')
('30/05/2022 17:02:23', '406', '49')
('30/05/2022 17:02:24', '400', '5')
('30/05/2022 17:02:26', '406', '336')
('30/05/2022 17:02:27', '416', '144')
('30/05/2022 17:02:28', '411', '347')
('30/05/2022 17:02:29', '416', '205')
('30/05/2022 17:02:31', '411', '207')
('30/05/2022 17:02:32', '424', '225')
('30/05/2022 17:02:33', '423', '39')
('30/05/2022 17:02:34', '426', '227')
('30/05/2022 17:02:35', '446', '67')
('30/05/2022 17:02:37', '438', '197')
('30/05/2022 17:02:38', '426', '379')
('30/05/2022 17:02:39', '448', '285')
('30/05/2022 17:02:40', '447', '418')
('30/05/2022 17:02:42', '446', '277')
('30/05/2022 17:02:43', '451', '22')
('30/05/2022 17:02:44', '459', '385')
('30/05/2022 17:02:45', '458', '64')
('30/05/2022 17:02:47', '439', '34')
('30/05/2022 17:02:48', '467', '449')
('30/05/2022 17:02:49', '507', '17')
('30/05/2022 17:02:50', '481', '234')
('30/05/2022 17:02:51', '491', '422')
('30/05/2022 17:02:52', '495', '304')
('30/05/2022 17:02:54', '494', '2')
('30/05/2022 17:02:55', '492', '159')
('30/05/2022 17:02:56', '489', '187')
('30/05/2022 17:02:57', '496', '2')
('30/05/2022 17:02:58', '521', '138')
('30/05/2022 17:03:00', '522', '189')
('30/05/2022 17:03:01', '534', '402')
('30/05/2022 17:03:02', '543', '196')
('30/05/2022 17:03:03', '545', '435')
('30/05/2022 17:03:05', '549', '432')
('30/05/2022 17:03:06', '549', '257')
('30/05/2022 17:03:07', '539', '311')
('30/05/2022 17:03:08', '551', '432')
('30/05/2022 17:03:10', '556', '224')
('30/05/2022 17:03:11', '558', '5')
('30/05/2022 17:03:12', '558', '38')
('30/05/2022 17:03:13', '558', '202')
('30/05/2022 17:03:14', '560', '390')
('30/05/2022 17:03:16', '560', '213')
('30/05/2022 17:03:17', '560', '458')
('30/05/2022 17:03:18', '558', '74')
('30/05/2022 17:03:20', '570', '400')
('30/05/2022 17:03:21', '586', '123')
('30/05/2022 17:03:22', '562', '258')
('30/05/2022 17:03:23', '564', '91')
('30/05/2022 17:03:24', '560', '212')
('30/05/2022 17:03:26', '582', '384')
('30/05/2022 17:03:27', '560', '229')
('30/05/2022 17:03:28', '561', '208')
('30/05/2022 17:03:29', '560', '415')
('30/05/2022 17:03:31', '557', '183')
('30/05/2022 17:03:32', '550', '448')
('30/05/2022 17:03:33', '528', '439')
('30/05/2022 17:03:34', '519', '2')
('30/05/2022 17:03:36', '503', '1')
('30/05/2022 17:03:37', '487', '207')
('30/05/2022 17:03:38', '487', '185')
('30/05/2022 17:03:39', '464', '272')
('30/05/2022 17:03:40', '459', '409')
('30/05/2022 17:03:42', '467', '384')
('30/05/2022 17:03:43', '468', '301')
('30/05/2022 17:03:44', '480', '416')
('30/05/2022 17:03:45', '498', '279')
('30/05/2022 17:03:47', '528', '320')
('30/05/2022 17:03:48', '511', '1')
('30/05/2022 17:03:49', '511', '31')
('30/05/2022 17:03:50', '528', '197')
('30/05/2022 17:03:51', '529', '183')
('30/05/2022 17:03:53', '529', '240')
('30/05/2022 17:03:54', '529', '304')
('30/05/2022 17:03:55', '543', '112')
('30/05/2022 17:03:56', '533', '5')
('30/05/2022 17:03:57', '540', '48')
('30/05/2022 17:03:58', '537', '83')
('30/05/2022 17:04:00', '534', '412')
('30/05/2022 17:04:01', '531', '205')
('30/05/2022 17:04:02', '528', '183')
('30/05/2022 17:04:03', '525', '311')
('30/05/2022 17:04:05', '499', '208')
('30/05/2022 17:04:06', '503', '212')
('30/05/2022 17:04:07', '496', '325')
('30/05/2022 17:04:08', '500', '17')
('30/05/2022 17:04:10', '501', '176')
('30/05/2022 17:04:11', '497', '449')
('30/05/2022 17:04:12', '496', '185')
('30/05/2022 17:04:13', '495', '213')
('30/05/2022 17:04:14', '496', '61')
('30/05/2022 17:04:16', '495', '218')
('30/05/2022 17:04:17', '495', '382')
('30/05/2022 17:04:18', '496', '7')
('30/05/2022 17:04:19', '496', '25')
('30/05/2022 17:04:20', '489', '3')
('30/05/2022 17:04:22', '504', '277')
('30/05/2022 17:04:23', '498', '209')
('30/05/2022 17:04:24', '509', '208')
('30/05/2022 17:04:25', '506', '240')
('30/05/2022 17:04:27', '475', '61')
('30/05/2022 17:04:28', '501', '871')
('30/05/2022 17:04:29', '497', '239')
('30/05/2022 17:04:30', '494', '481')
('30/05/2022 17:04:31', '480', '208')
('30/05/2022 17:04:33', '472', '102')
('30/05/2022 17:04:34', '453', '2')
('30/05/2022 17:04:35', '445', '11')
('30/05/2022 17:04:36', '430', '257')
('30/05/2022 17:04:37', '414', '226')
('30/05/2022 17:04:39', '404', '449')
('30/05/2022 17:04:40', '400', '417')
('30/05/2022 17:04:41', '389', '208')
('30/05/2022 17:04:42', '385', '2')
('30/05/2022 17:04:44', '387', '451')
('30/05/2022 17:04:45', '397', '369')
('30/05/2022 17:04:46', '391', '203')
('30/05/2022 17:04:47', '398', '48')
('30/05/2022 17:04:48', '400', '291')
('30/05/2022 17:04:50', '390', '3')
('30/05/2022 17:04:51', '391', '221')
('30/05/2022 17:04:52', '373', '8')
('30/05/2022 17:04:53', '373', '212')
('30/05/2022 17:04:55', '385', '303')
('30/05/2022 17:04:56', '374', '209')
('30/05/2022 17:04:57', '377', '377')
('30/05/2022 17:04:58', '369', '435')
('30/05/2022 17:04:59', '380', '17')
('30/05/2022 17:05:00', '369', '80')
('30/05/2022 17:05:02', '367', '415')
('30/05/2022 17:05:03', '368', '242')
('30/05/2022 17:05:04', '375', '442')
('30/05/2022 17:05:05', '363', '464')
('30/05/2022 17:05:07', '367', '359')
('30/05/2022 17:05:08', '363', '444')
('30/05/2022 17:05:09', '368', '401')
('30/05/2022 17:05:10', '360', '363')
('30/05/2022 17:05:12', '362', '341')
('30/05/2022 17:05:13', '366', '446')
('30/05/2022 17:05:14', '363', '235')
('30/05/2022 17:05:15', '363', '379')
('30/05/2022 17:05:16', '359', '406')
('30/05/2022 17:05:18', '362', '223')
('30/05/2022 17:05:19', '362', '367')
('30/05/2022 17:05:20', '366', '298')
('30/05/2022 17:05:21', '400', '240')
('30/05/2022 17:05:23', '368', '8')
('30/05/2022 17:05:24', '362', '217')
('30/05/2022 17:05:25', '358', '7')
('30/05/2022 17:05:26', '356', '84')
('30/05/2022 17:05:27', '363', '3')
('30/05/2022 17:05:29', '368', '346')
('30/05/2022 17:05:30', '363', '286')
('30/05/2022 17:05:31', '368', '173')
('30/05/2022 17:05:32', '368', '239')
